0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.79360116,1.1093804,0.0,4.3012424,4.4004183,0.0,0.0,3.1796453,1.118293,0.0,0.0,1.8813137,0.2665518,0.0,0.0,1.1385843
0.79166454,1.1040553,0.0,4.299091,4.395695,0.0,0.0,3.1751235,1.1138409,0.0,0.0,1.8737758,0.26759857,0.0,0.0,1.1341091
0.781243,1.0955299,0.0,4.268734,4.3682394,0.0,0.0,3.138073,1.090456,0.0,0.0,1.8358895,0.2735043,0.0,0.0,1.1185079
0.7835139,1.1079246,0.0,4.2107205,4.3404593,0.0,0.0,3.097071,1.0695001,0.0,0.0,1.820762,0.30648813,0.0,0.0,1.1089247
0.81136847,1.0952947,0.0,4.1585417,4.3199368,0.0,0.0,3.004099,1.0149645,0.0,0.0,1.7783656,0.33013764,0.0,0.0,1.1181444
0.8190848,1.082541,0.0,4.137219,4.306719,0.0,0.0,2.9628143,0.98532,0.0,0.0,1.7529212,0.34151182,0.0,0.0,1.1164576
0.82723516,1.0680426,0.0,4.117052,4.2925954,0.0,0.0,2.9200444,0.95333564,0.0,0.0,1.7296607,0.3538129,0.0,0.0,1.1154872
0.83509153,1.0538146,0.0,4.0958953,4.2786536,0.0,0.0,2.8781414,0.9219129,0.0,0.0,1.707033,0.36518216,0.0,0.0,1.1138602
0.8537246,1.0723673,0.0,4.0779767,4.285207,0.0,0.0,2.8651195,0.9238585,0.0,0.0,1.7273797,0.37899122,0.0,0.0,1.1300862
0.88657755,1.1140306,0.0,4.059734,4.314141,0.0,0.0,2.8519788,0.93381476,0.0,0.0,1.7708443,0.38867712,0.0,0.0,1.1717988
0.9157489,1.1544026,0.0,3.9855144,4.2810874,0.0,0.0,2.7207556,0.9183861,0.0,0.0,1.7573273,0.4118498,0.0,0.0,1.2154877
0.92054886,1.180107,0.0,3.987068,4.2946053,0.0,0.0,2.742637,0.94180673,0.0,0.0,1.7877647,0.41067067,0.0,0.0,1.2262584
0.9176873,1.1929264,0.0,3.9806826,4.2929263,0.0,0.0,2.7369745,0.94835657,0.0,0.0,1.7889196,0.4032916,0.0,0.0,1.2297918
0.9146273,1.2046806,0.0,3.974696,4.2911367,0.0,0.0,2.7318585,0.9544086,0.0,0.0,1.7908653,0.3957066,0.0,0.0,1.2336477
0.9116911,1.216062,0.0,3.9690223,4.289705,0.0,0.0,2.7265825,0.9599455,0.0,0.0,1.7925017,0.387656,0.0,0.0,1.2382405
0.8997363,1.1749872,0.0,3.994255,4.2925186,0.0,0.0,2.7593653,0.94118315,0.0,0.0,1.7701529,0.38776535,0.0,0.0,1.208882
0.9238622,1.165546,0.0,4.065062,4.384256,0.0,0.0,2.8776352,0.9439109,0.0,0.0,1.8383069,0.38209128,0.0,0.0,1.2264007
0.93415326,1.189857,0.0,4.0942416,4.4309797,0.0,0.0,2.9338098,0.96860194,0.0,0.0,1.8858255,0.3697172,0.0,0.0,1.2490892
0.91725945,1.1812918,0.0,4.103116,4.4244933,0.0,0.0,2.9413593,0.96935827,0.0,0.0,1.868132,0.35472345,0.0,0.0,1.2374076
0.9129852,1.177984,0.0,4.0963664,4.412753,0.0,0.0,2.933944,0.9684294,0.0,0.0,1.8600929,0.35884684,0.0,0.0,1.2303799
0.90871114,1.1746763,0.0,4.089618,4.4010143,0.0,0.0,2.9265294,0.96750057,0.0,0.0,1.8520538,0.36297053,0.0,0.0,1.2233526
0.9044362,1.1713691,0.0,4.08287,4.3892746,0.0,0.0,2.9191144,0.96657217,0.0,0.0,1.844014,0.36709437,0.0,0.0,1.2163253
0.89759684,1.1883645,0.0,4.0856633,4.3888497,0.0,0.0,2.9307988,0.9888507,0.0,0.0,1.8554618,0.36093888,0.0,0.0,1.2195956
0.8978175,1.1855588,0.0,4.1132317,4.41707,0.0,0.0,2.9807568,0.9969886,0.0,0.0,1.8780954,0.35294595,0.0,0.0,1.220401
